胶原蛋白软胶囊(奈世康)买二赠一	￥0.01
明矾	￥0.08
牡蛎	￥0.09
律草	￥0.10
去痛片	￥0.10
茯苓皮	￥0.10
玄明粉	￥0.10
煅牡蛎	￥0.10
芒硝	￥0.10
苦楝皮	￥0.11
藤犁根	￥0.11
生代赭石	￥0.12
青礞石	￥0.12
煅珍珠母	￥0.12
煅自然铜	￥0.12
葎草	￥0.13
煅蛤壳	￥0.13
禹余粮	￥0.13
浮小麦	￥0.13
豨莶草	￥0.13
生磁石	￥0.13
佛耳草	￥0.14
蛇霉	￥0.14
老鹳草	￥0.14
煅瓦楞子	￥0.14
滑石	￥0.14
丁公藤	￥0.15
接骨木	￥0.15
鸭跖草	￥0.15
赤石脂	￥0.15
泽漆	￥0.16
稻芽	￥0.16
煅赭石	￥0.16
油松节	￥0.16
煅赭石	￥0.16
桑枝	￥0.16
稻芽	￥0.16
淮小麦	￥0.16
麦芽	￥0.16
萹蓄	￥0.16
蚕沙	￥0.16
大青叶	￥0.16
鹅管石	￥0.17
莲房	￥0.17
路路通	￥0.17
陈皮	￥0.17
天仙藤	￥0.17
石膏	￥0.17
阳起石	￥0.17
煅磁石	￥0.17
滑石粉	￥0.17
玉米须	￥0.17
雷公藤	￥0.18
炒桑枝	￥0.18
炒麦芽	￥0.18
鬼针草	￥0.18
炒稻芽	￥0.18
苍耳子	￥0.18
苦楝皮	￥0.18
铁苋菜	￥0.19
功劳木	￥0.19
野葡萄藤根	￥0.19
黄药子	￥0.19
冬瓜皮	￥0.19
侧柏叶	￥0.19
千里光	￥0.19
煅紫石英	￥0.19
解热止痛散(头痛粉)(新海店)	￥0.20
焦麦芽(彭祖)	￥0.20
荷梗	￥0.20
荠菜花	￥0.20
硼砂	￥0.20
臭梧桐叶	￥0.20
藕节	￥0.20
大腹皮	￥0.20
玉泉散	￥0.20
花生衣	￥0.20
薄荷	￥0.20
秦皮	￥0.20
椿皮	￥0.20
六一散	￥0.20
橘叶	￥0.20
黑豆	￥0.21
绿豆衣	￥0.21
花椒目	￥0.21
黑骨藤	￥0.21
荔枝草	￥0.21
绿豆衣	￥0.21
石榴皮	￥0.21
浮萍	￥0.21
肿节风	￥0.21
瞿麦	￥0.21
炒椿皮	￥0.21
红旱莲	￥0.22
辣蓼	￥0.22
鸡苏散	￥0.22
穿心莲	￥0.22
淡豆豉	￥0.22
炒川楝子	￥0.22
忍冬藤	￥0.22
焦六神曲	￥0.22
咸秋石	￥0.23
侧柏炭	￥0.23
拓木	￥0.23
柘木	￥0.23
茼麻子	￥0.23
矮地茶(平地木)	￥0.23
瘪桃干	￥0.23
伸筋草	￥0.23
络石藤	￥0.23
苏木	￥0.23
月经不调、腹中冷痛、胎漏下血、胎动不安 艾叶 江苏	￥0.24
薏米根	￥0.24
菥蓂	￥0.24
枇杷叶	￥0.24
决明子	￥0.24
荔枝核	￥0.24
车前草	￥0.24
益母草	￥0.24
鸡血藤	￥0.24
鸡血藤	￥0.24
连钱草	￥0.25
猫人参	￥0.25
铁树叶	￥0.25
青风藤	￥0.25
金荞麦	￥0.25
冬凌草	￥0.25
艾绒	￥0.25
虎杖	￥0.25
炒青皮	￥0.25
茵陈	￥0.25
凤凰衣	￥0.25
石楠叶	￥0.25
紫苏叶	￥0.25
菝葜	￥0.26
常春花	￥0.26
通关藤	￥0.26
寻骨风	￥0.26
枸骨根	￥0.26
乌敛梅	￥0.26
香薷	￥0.26
绵马贯众	￥0.26
绵马贯众	￥0.26
荔枝核	￥0.26
山楂	￥0.26
炒紫苏子	￥0.26
龙葵	￥0.26
马鞭草	￥0.26
桑叶	￥0.26
银杏叶	￥0.26
鹤虱	￥0.27
川木通	￥0.27
葫芦瓢	￥0.27
川木通	￥0.27
藕节炭	￥0.27
苏藿香	￥0.27
刘寄奴	￥0.27
荷叶	￥0.27
刀豆壳	￥0.28
鸡眼草	￥0.28
马尾莲	￥0.28
黄毛耳草	￥0.28
木香	￥0.28
桂枝	￥0.28
大蓟	￥0.28
泽兰	￥0.28
艾叶炭	￥0.28
糯稻根	￥0.28
小蓟	￥0.28
木贼	￥0.28
金沸草	￥0.28
西河柳	￥0.29
鸡矢藤	￥0.29
炒王不留行	￥0.29
柴胡	￥0.29
